id,project_id,name,account_id,budget_line/obi_id,budget_line/budget_alloc
project_line_hwf_133,Eldery - โครงการผู้สูงอายุ,Activity - กิจกรรม,5330-01,,
project_line_hwf_134,Eldery - โครงการผู้สูงอายุ,Admin Cost - ค่าจัดการ,5330-02,,
project_line_hwf_135,Sewing workshop,Machine,5401-01,Maro,10000
project_line_hwf_136,Sewing workshop,Furniture & Improvement,5401-02,Maro,50000
project_line_hwf_137,Sewing workshop,Supply - Student uniform,5401-03,Maro,526000
project_line_hwf_138,Sewing workshop,Supply - Student uniform (other donor),5401-04,,
project_line_hwf_139,Sewing workshop,Supply - Teacher uniform,5401-05,Maro,30000
project_line_hwf_140,Sewing workshop,Supply - Teacher uniform (other donor),5401-06,,
project_line_hwf_141,Sewing workshop,Supply - Other,5401-07,,
project_line_hwf_142,Sewing workshop,Supply - Other (other donor),5401-08,,
project_line_hwf_143,Sewing workshop,Running costs: Rent & operation costs,5401-09,Maro,84000
project_line_hwf_144,Sewing workshop,Running costs: Rent & operation costs (other donor),5401-10,,
project_line_hwf_145,Sewing workshop,Running costs: Staff Salary,5401-11,Maro,1293800
project_line_hwf_146,Sewing workshop,Running costs: Staff Salary (other donor),5401-12,,
project_line_hwf_147,Sewing workshop,Staff capacity Building,5401-13,Maro,10000
project_line_hwf_148,Sewing workshop,Staff capacity Building (other donor),5401-14,,
project_line_hwf_149,Sewing workshop,Developing Social Marketing Commercial,5401-15,Maro,300000
project_line_hwf_150,Sanitation assistant,Sanitation assistant/Toilet,5402-01,HoG I,20000
project_line_hwf_151,Sanitation assistant,Sanitation assistant/Drinking water,5402-02,HoG I,10000
project_line_hwf_152,Emergency,General,5403-01,,
project_line_hwf_153,Emergency,General (other),5403-02,,
project_line_hwf_154,[Central Kitchen] Improvement and building Maintenance,Improvement and building Maintenance,5511-01,HoG I,30000
project_line_hwf_155,[Central Kitchen] Equipment kitchen,Gas stove,5512-01,HoG I,10200
project_line_hwf_156,[Central Kitchen] Equipment kitchen,Big pot,5512-02,HoG I,11600
project_line_hwf_157,[Central Kitchen] Equipment kitchen,Big pan,5512-03,HoG I,3800
project_line_hwf_158,[Central Kitchen] Equipment kitchen,Cooking utensils,5512-04,HoG I,20000
project_line_hwf_159,[Central Kitchen] Equipment kitchen,Food container,5512-05,HoG I,4800
project_line_hwf_160,[Central Kitchen] Equipment kitchen,Rice container,5512-06,HoG I,14000
project_line_hwf_161,[Central Kitchen] Equipment kitchen,Drinking water tank,5512-07,HoG I,4500
project_line_hwf_162,[Central Kitchen] Equipment kitchen,Other,5512-08,HoG I,10000
project_line_hwf_163,[Central Kitchen] Equipment kitchen,Other (other donor),5512-09,,
project_line_hwf_164,[Central Kitchen] Furniture,Office furniture,5513-01,HoG I,6600
project_line_hwf_165,[Central Kitchen] Furniture,Operation furniture,5513-02,HoG I,10000
project_line_hwf_166,[Central Kitchen] Furniture,Other,5513-03,,
project_line_hwf_167,[Central Kitchen] Transportation,Insurance and tax,5514-01,HoG I,63000
project_line_hwf_168,[Central Kitchen] Transportation,Insurance and tax (other donor),5514-02,,
project_line_hwf_169,[Central Kitchen] Transportation,Petrol,5514-03,HoG I,300000
project_line_hwf_170,[Central Kitchen] Transportation,Petrol (other donor),5514-04,,
project_line_hwf_171,[Central Kitchen] Transportation,Car maintenance,5514-05,HoG I,60000
project_line_hwf_172,[Central Kitchen] Transportation,Car maintenance  (other donor),5514-06,,
project_line_hwf_173,[Central Kitchen] Rent and Utilities,Rent and tax,5515-01,HoG I,103000
project_line_hwf_174,[Central Kitchen] Rent and Utilities,Rent and tax (other donor),5515-02,,
project_line_hwf_175,[Central Kitchen] Rent and Utilities,Electricity,5515-03,HoG I,60000
project_line_hwf_176,[Central Kitchen] Rent and Utilities,Electricity (other donor),5515-04,,
project_line_hwf_177,[Central Kitchen] Rent and Utilities,Water/ used and waste,5515-05,HoG I,48000
project_line_hwf_178,[Central Kitchen] Rent and Utilities,Water/ used and waste (other donor),5515-06,,
project_line_hwf_179,[Central Kitchen] Rent and Utilities,Telephone,5515-07,HoG I,12000
project_line_hwf_180,[Central Kitchen] Rent and Utilities,Garvage collection,5515-08,HoG I,2400
project_line_hwf_181,[Central Kitchen] Salaries,Manager,5516-01,HoG I,140250
project_line_hwf_182,[Central Kitchen] Salaries,Nutritionist,5516-02,HoG I,153000
project_line_hwf_183,[Central Kitchen] Salaries,Cook,5516-03,HoG I,204000
project_line_hwf_184,[Central Kitchen] Salaries,Driver,5516-04,HoG I,204000
project_line_hwf_185,[Central Kitchen] Salaries,Senior Assistant,5516-05,HoG I,191250
project_line_hwf_186,[Central Kitchen] Salaries,Junior Assistant,5516-06,HoG I,204000
project_line_hwf_187,[Central Kitchen] Salaries,Logistician (share cost 70 %),5516-07,HoG I,115706.25
project_line_hwf_188,[Central Kitchen] Salaries,Work permit,5516-08,HoG I,30400
project_line_hwf_189,[Central Kitchen] Salaries,Over time work,5516-09,HoG I,120000
project_line_hwf_190,[Central Kitchen] Salaries,Health Check up,5516-10,HoG I,10000
project_line_hwf_191,[Central Kitchen] Staff Capacity building,Fire Safety& First Aid training,5517-01,HoG I,2000
project_line_hwf_192,[Central Kitchen] Staff Capacity building,Safety food and Nutrition training,5517-02,HoG I,25000
project_line_hwf_193,[Central Kitchen] Staff Capacity building,Production place visit  Vegetable,5517-03,HoG I,2500
project_line_hwf_194,[Central Kitchen] Cooking Gas and Sanitation,Cooking gas,5518-01,HoG I,583200
project_line_hwf_195,[Central Kitchen] Cooking Gas and Sanitation,Plastic bag,5518-02,HoG I,93500
project_line_hwf_196,[Central Kitchen] Cooking Gas and Sanitation,Cleaning detergent,5518-03,HoG I,14400
project_line_hwf_197,[Central Kitchen] Cooking Gas and Sanitation,Cleaning and change water filter,5518-04,HoG I,36000
project_line_hwf_198,[Central Kitchen] Cooking Gas and Sanitation,Other,5518-05,HoG I,24000
project_line_hwf_199,[Central Kitchen] Food supplies,Meat / Egg,5519-01,Regione Suedtirol Trentino,4046477.91705097
project_line_hwf_200,[Central Kitchen] Food supplies,Meat / Egg (other donor),5519-02,,
project_line_hwf_201,[Central Kitchen] Food supplies,Vegetable,5519-03,Regione Suedtirol Trentino,1857098.60545901
project_line_hwf_202,[Central Kitchen] Food supplies,Vegetable (other donor),5519-04,,
project_line_hwf_203,[Central Kitchen] Food supplies,Ingredient,5519-05,Regione Suedtirol Trentino,985956.477490019
project_line_hwf_204,[Central Kitchen] Food supplies,Ingredient (other donor),5519-06,,
project_line_hwf_205,[Central Kitchen] Food supplies,Rice,5519-07,Regione Suedtirol Trentino,2463750
project_line_hwf_206,[Central Kitchen] Food supplies,Rice (other donor),5519-08,,
project_line_hwf_207,Nutrition,Nutrition/Milk & Fruit,5520-01,,
project_line_hwf_208,Nutrition,Nutrition/Nutrition education outreach,5520-02,,
project_line_hwf_209,Nutrition,Nutrition/Milk & Fruit(other donor),5520-03,,
project_line_hwf_210,Food supplies for school & Dormitory (not central kitchen),KM 42 : Rice,5530-01,HoG CH,90000
project_line_hwf_211,Food supplies for school & Dormitory (not central kitchen),KM 42 : vegetable & meat,5530-02,,
project_line_hwf_212,Food supplies for school & Dormitory (not central kitchen),KKB : Rice,5530-03,,
project_line_hwf_213,Food supplies for school & Dormitory (not central kitchen),KKB : vegetable & meat,5530-04,,
project_line_hwf_214,Food supplies for school & Dormitory (not central kitchen),KM 42 : Rice(other donor),5530-05,,
project_line_hwf_215,Food supplies for school & Dormitory (not central kitchen),KM 42 : vegetable & meat(other donor),5530-06,,
project_line_hwf_216,Agriculture - เกษตร,Organic Agriculture - เกษตรอินทรีย์,5540-01,HoG CH,30000
project_line_hwf_217,Agriculture - เกษตร,"Animal raising (Fish, Pig, Chicken)",5540-02,,
project_line_hwf_218,Agriculture - เกษตร,Mushroom culture,5540-03,HoG CH,30000
project_line_hwf_219,Agriculture - เกษตร,Bio fertilizer,5540-04,HoG CH,30000
project_line_hwf_220,Agriculture - เกษตร,Rent & Operation,5540-05,,
project_line_hwf_221,Agriculture - เกษตร,Salary - ค่าตอบแทน,5540-06,HoG CH,60000
project_line_hwf_222,Food-Emergency - อาหาร ฉุกเฉิน,Food Emergency - อาหาร ฉุกเฉิน,5550-01,,
project_line_hwf_223,Partners Responsible on Child protection - พันธมิตรตอบรับระบบปกป้องคุ้มครองเด็ก,Consultation workshops  with partner organisations-ประชุม,5601-01,SCI-UNICEF,100000
project_line_hwf_224,Partners Responsible on Child protection - พันธมิตรตอบรับระบบปกป้องคุ้มครองเด็ก,Training on use of child protection assessment tools- อบรม,5601-02,SCI-UNICEF,90000
project_line_hwf_225,Partners Responsible on Child protection - พันธมิตรตอบรับระบบปกป้องคุ้มครองเด็ก,National training on intensive individual data collection - อบรมระดับชาติ,5601-03,,
project_line_hwf_226,Partners Responsible on Child protection - พันธมิตรตอบรับระบบปกป้องคุ้มครองเด็ก,Conduct of child protection assessments - ประเมิน,5601-04,SCI-UNICEF,120000
project_line_hwf_227,Partners Responsible on Child protection - พันธมิตรตอบรับระบบปกป้องคุ้มครองเด็ก,Verification of serious  child protection cases - พิสูจน์ case,5601-05,,
project_line_hwf_228,Partners Responsible on Child protection - พันธมิตรตอบรับระบบปกป้องคุ้มครองเด็ก,Managing the data collected - จัดการข้อมูล,5601-06,,
project_line_hwf_229,"Partners Responsible identify, reach, and respond  - ค้นหาและตอบรับ",Capacity building with local government-อบรมเจ้าหน้าที่รัฐ,5602-01,SCI-UNICEF,158000
project_line_hwf_230,"Partners Responsible identify, reach, and respond  - ค้นหาและตอบรับ",Follow-up training-อบรมเรื่องการติดตาม,5602-02,,
project_line_hwf_231,"Partners Responsible identify, reach, and respond  - ค้นหาและตอบรับ",Support case conference - สนับสนุน Case conference,5602-03,SCI-UNICEF,72000
project_line_hwf_232,"Partners Responsible identify, reach, and respond  - ค้นหาและตอบรับ",Facilitate direct services - อำนวยการช่วยเหลือตรง,5602-04,SCI-UNICEF,100000
project_line_hwf_233,"Partners Responsible identify, reach, and respond  - ค้นหาและตอบรับ",Support youth led initiatives - สนับสนุนกิจกรรมเยาวชน,5602-05,SCI-UNICEF,84000
project_line_hwf_234,Consultation workshops  - ประชุม หารือ,Meetings with CPC at district-ประชุมคณะกรรมการคุ้มครองเด็กระดับอำเภอ,5603-01,SCI-UNICEF,100000
project_line_hwf_235,Consultation workshops  - ประชุม หารือ,Facilitation of consultations and dialogues - ดำเนินการหารือ,5603-02,SCI-UNICEF,50000
project_line_hwf_236,Consultation workshops  - ประชุม หารือ,"Participate and contribute to the on-going discussions - 
ร่วมและส่งเสริมการพูดคุยอย่างต่อเนืื่อง",5603-03,,
project_line_hwf_237,Consultation workshops  - ประชุม หารือ,Lobby with government - ระดับนโยบาย,5603-04,,
project_line_hwf_238,"Planning, evaluation, and partnerships - จัดการ",Administrative Costs - ค่าจัดการ,5604-01,SCI-UNICEF,100000
project_line_hwf_239,"Planning, evaluation, and partnerships - จัดการ",Electricity - ค่าไฟฟ้า,5604-02,,
project_line_hwf_240,"Planning, evaluation, and partnerships - จัดการ",Used water - ค่าน้ำใช้,5604-03,,
project_line_hwf_241,"Planning, evaluation, and partnerships - จัดการ",Transportation - ค่าเดินทาง,5604-04,,
project_line_hwf_242,"Planning, evaluation, and partnerships - จัดการ",Office supplies - ค่าอุปกรณ์สำนักงาน,5604-05,,
project_line_hwf_243,Utilities&Facilities,Electricity,5701-01,,
project_line_hwf_244,Utilities&Facilities,Television,5701-02,,
project_line_hwf_245,Utilities&Facilities,"Drinking Water, Coffee",5701-03,,
project_line_hwf_246,Utilities&Facilities,"Drinking Water, Coffee (other donor)",5701-04,,
project_line_hwf_247,Utilities&Facilities,Used Water,5701-05,,
project_line_hwf_248,Utilities&Facilities,Products for cleaning&sanitation,5701-06,,
project_line_hwf_249,Utilities&Facilities,Material for fixing or improvements,5701-07,,
project_line_hwf_250,Utilities&Facilities,Labor cost for fixing or improvements,5701-08,,
project_line_hwf_251,Project assistant,Director,5702-01,,
project_line_hwf_252,Project assistant,Office Manager,5702-02,,
project_line_hwf_253,Project assistant,Finance Manager,5702-03,,
project_line_hwf_254,Project assistant,Accountant,5702-04,,
project_line_hwf_255,Project assistant,Driver,5702-05,,
project_line_hwf_256,Project assistant,Office Maid,5702-06,,
project_line_hwf_257,Project assistant,IT,5702-07,,
project_line_hwf_258,Project assistant,Fund Raiser,5702-08,,
project_line_hwf_259,Project assistant,Work permit,5702-09,,
project_line_hwf_260,Project assistant,Visa,5702-10,,
project_line_hwf_261,Project assistant,Insurance / Health / Medicine / Social insurance,5702-11,,
project_line_hwf_262,Project assistant,Additional expenses salary Staff,5702-12,,
project_line_hwf_263,Project assistant,Food/Drinks  voluntary helpers,5702-13,,
project_line_hwf_264,Project assistant,Thai Foundation Auditing/ Accounting,5702-14,,
project_line_hwf_265,Project assistant,"Contribution to staff saving schem (3,200 Bht X 12 months)",5702-15,,
project_line_hwf_266,Project assistant,Staff of the year,5702-16,,
project_line_hwf_267,Project assistant,Monthly allowance for Benno,5702-17,,
project_line_hwf_268,"Travels,Car,Flights&Lodging",Insurance Car,5703-01,HoG I,46000
project_line_hwf_269,"Travels,Car,Flights&Lodging",Tax-Car,5703-02,HoG I,10000
project_line_hwf_270,"Travels,Car,Flights&Lodging",Tax-Motorbike,5703-03,HoG I,1000
project_line_hwf_271,"Travels,Car,Flights&Lodging",Maintenance-Car,5703-04,HoG I,119000
project_line_hwf_272,"Travels,Car,Flights&Lodging",Maintenance-Motorbike,5703-05,HoG I,5000
project_line_hwf_273,"Travels,Car,Flights&Lodging",Accessories car,5703-06,HoG I,3000
project_line_hwf_274,"Travels,Car,Flights&Lodging",Gasoline,5703-07,HoG I,144000
project_line_hwf_275,"Travels,Car,Flights&Lodging","Bus, Train, Taxi",5703-08,HoG I,37000
project_line_hwf_276,"Travels,Car,Flights&Lodging",Car rent,5703-09,HoG I,5000
project_line_hwf_277,"Travels,Car,Flights&Lodging",Expressway toll,5703-10,HoG I,2000
project_line_hwf_278,"Travels,Car,Flights&Lodging",Hotel&lodging Thailand,5703-11,HoG I,25000
project_line_hwf_279,"Travels,Car,Flights&Lodging","Bus, Train, Taxi(other donor)",5703-12,,
project_line_hwf_280,Office supplies,Office supplies,5704-01,HoG I,6000
project_line_hwf_281,Office supplies,Flowers,5704-02,HoG I,1000
project_line_hwf_282,Office supplies,Picture prints,5704-03,HoG I,1000
project_line_hwf_283,Office supplies,Ink for printer/ Toner,5704-04,HoG I,10550
project_line_hwf_284,Office supplies,CD/ DVD,5704-05,HoG I,1000
project_line_hwf_285,Equipment furniture&machines (Office&House),Accessories for all,5705-01,HoG I,30000
project_line_hwf_286,Equipment furniture&machines (Office&House),Equipment for gardening,5705-02,HoG I,3000
project_line_hwf_287,Communication&shipping,"Telephone,Communications,Post",5706-01,HoG I,36000
project_line_hwf_288,Communication&shipping,"Telephone,Communications,Post / office BKK",5706-02,,
project_line_hwf_289,Communication&shipping,Internet,5706-03,HoG I,18000
project_line_hwf_290,Communication&shipping,Internet / office BKK,5706-04,,
project_line_hwf_291,Communication&shipping,Digital Camera,5706-05,,
project_line_hwf_292,Public relations&information,Brochures&leaflets,5707-01,HoG I,10000
project_line_hwf_293,Public relations&information,Business Cards,5707-02,HoG I,1000
project_line_hwf_294,Public relations&information,"Signs, boards&stickers",5707-03,HoG I,2000
project_line_hwf_295,Public relations&information,Gifts for guests&partners,5707-04,HoG I,3000
project_line_hwf_296,Public relations&information,News releases&fundraising,5707-05,,
project_line_hwf_297,Food&related costs,Restaurants&food for guests,5708-01,HoG I,18000
project_line_hwf_298,Food&related costs,All expenses not listed above,5708-02,HoG I,10000
project_line_hwf_299,Food&related costs,All expenses not listed above(other donor),5708-03,,
project_line_hwf_300,Events&conferences,All expenses related to specific events,5709-01,HoG I,50000
project_line_hwf_301,Events&conferences,All expenses related to specific events(other donor),5709-02,,
project_line_hwf_302,Other,Other/Exploring Burma,5710-01,,
project_line_hwf_303,Kathi Zeschg Clinic (PBLT),Runing cost,5302-01,HoG I,200000
project_line_hwf_304,[Special Area School - โรงเรียนพื้นที่พิเศษ] Special Area School - โรงเรียนพื้นที่พิเศษ,PBLT Primary - โรงเรียนพื้นที่พิเศษ / PBLT Primary,5111-01,,
project_line_hwf_305,[Special Area School - โรงเรียนพื้นที่พิเศษ] Special Area School - โรงเรียนพื้นที่พิเศษ,Kaw Poe Kee Primary - โรงเรียนพื้นที่พิเศษ/ Kaw Poe Kee Primary,5111-02,,
project_line_hwf_306,[Special Area School - โรงเรียนพื้นที่พิเศษ] Special Area School - โรงเรียนพื้นที่พิเศษ,Kaw Poe Kee Nursery - โรงเรียนพื้นที่พิเศษ/ Kaw Poe Kee Nursery,5111-03,,
project_line_hwf_307,[Special Area School - โรงเรียนพื้นที่พิเศษ] Special Area School - โรงเรียนพื้นที่พิเศษ,Hser Poe Hta - โรงเรียนพื้นที่พิเศษ/ Hser Poe Hta,5111-04,,
project_line_hwf_308,[Special Area School - โรงเรียนพื้นที่พิเศษ] Burma School - โรงเรียนพม่า,Ku Don village School โรงเรียนคูดอน,5112-01,,
project_line_hwf_309,"[Contribution to other project, training - สมทบ โครงการ อบรม] Contribution to other project, training - สมทบ โครงการ อบรม",English special course ESC (No Pho Camp),5131-01,,
project_line_hwf_310,ROY Burma Project - โครงการพม่า,Activity for School student,5210-01,,
project_line_hwf_311,ROY Burma Project - โครงการพม่า,Activity for At-Risk children and youth-กิจกรรม เด็ก เยาวชนกลุ่มเสี่ยง,5210-02,,
project_line_hwf_312,ROY Burma Project - โครงการพม่า,Training for parent and teacher - อบรม ครู ผู้ปกครอง,5210-03,,
project_line_hwf_313,ROY Burma Project - โครงการพม่า,Media activity - กิจกรรมสื่อ,5210-04,,
project_line_hwf_314,ROY Burma Project - โครงการพม่า,Based line study - ศึกษาชุมชน,5210-05,,
project_line_hwf_315,ROY Burma Project - โครงการพม่า,Seminar Meeting Home Visit- สัมนา ประชุม เยี่ยม,5210-06,,
project_line_hwf_316,ROY Burma Project - โครงการพม่า,Office in Hpa An - สำนักงาน Hpa An,5210-07,,
project_line_hwf_317,ROY Burma Project - โครงการพม่า,Transportation - เดินทาง,5210-08,,
project_line_hwf_318,ROY Burma Project - โครงการพม่า,Project Management - จัดการโครงการ,5210-09,,
project_line_hwf_319,Kathi Zeschg Clinic (PBLT),Extra need,5302-02,,
